ID,Task.Name,Trial.Number,Dilemma,Personal,DPv1.0.Permissible,Personal.force,Intention,DPv2.0.Permissible,RT,Permissible
7803352,Main Stimuli Q_YES,1,FootbridgePHOMine,No,No,No,Yes,Yes,4154.8,0
7803352,Main Stimuli Q_YES,2,InefficientRisk,No,Yes,No,No,Yes,2084.4,0
7803352,Main Stimuli Q_YES,3,man-in-frontMine,No,Yes,No,No,Yes,1850.9,1
7803352,Main Stimuli Q_YES,4,FootbridgePHOTruck,No,No,No,Yes,Yes,2557,1
7803352,Main Stimuli Q_YES,5,SubstitutedConsentMine,Yes,No,Yes,No,Yes,1502.1,1
7803352,Main Stimuli Q_YES,6,bystanderMine,No,Yes,No,No,Yes,390.3,1
7803352,Main Stimuli Q_YES,7,FootbridgePHA&OMine,Yes,No,Yes,Yes,No,2441.2,1
7803352,Main Stimuli Q_YES,8,HypotheticalConsentMine,Yes,No,Yes,Yes,No,1202.9,1
7803352,Main Stimuli Q_YES,9,EfficientRisk,No,Yes,No,No,Yes,2200.1,1
7803352,Main Stimuli Q_YES,10,man-in-frontTruck,No,Yes,No,No,Yes,1554.2,1
7803352,Main Stimuli Q_YES,11,DropEquipmentTruck,No,Yes,No,Yes,Yes,1078.6,1
7803352,Main Stimuli Q_YES,12,SuicidalRescue,Yes,No,No,Yes,Yes,1360,1
7803352,Main Stimuli Q_YES,13,disproportionate deathCrane,No,Yes,No,No,Yes,1285.4,0
7803352,Main Stimuli Q_YES,14,better alternativeTruck,No,Yes,No,No,Yes,857.7,0
7803352,Main Stimuli Q_YES,15,costless rescueCrane,No,Yes,No,No,Yes,733,1
7803352,Main Stimuli Q_YES,16,BystanderPHA&O,No,Yes,No,Yes,Yes,1310.3,1
7803352,Main Stimuli Q_YES,17,InefficientRiskCrane,No,Yes,No,No,Yes,1045.6,0
7803352,Main Stimuli Q_YES,18,FootbridgePHA&O,Yes,No,Yes,Yes,No,1967.1,0
7803352,Main Stimuli Q_YES,19,expensive equipmentCrane,No,Yes,No,No,Yes,859.6,0
7803352,Main Stimuli Q_YES,20,disproportionate death,No,Yes,No,No,Yes,4467.5,0
7803352,Main Stimuli Q_YES,21,EfficientRiskCrane,No,Yes,No,No,Yes,370.7,1
7803352,Main Stimuli Q_YES,22,ExpensiveCollapseCrane,No,Yes,No,No,Yes,604.6,1
7803352,Main Stimuli Q_YES,23,footbridge,Yes,No,Yes,Yes,No,1114,0
7803352,Main Stimuli Q_YES,24,InexpensiveRescue,No,Yes,No,No,Yes,705.9,1
7803352,Main Stimuli Q_YES,25,ExpensiveCollapseMine,No,Yes,No,No,Yes,1222.5,1
7803352,Main Stimuli Q_YES,26,man-in-front,No,Yes,No,No,Yes,792.3,1
7803352,Main Stimuli Q_YES,27,drop manMine,Yes,No,No,Yes,Yes,926.4,1
7803352,Main Stimuli Q_YES,28,FootbridgePHOCrane,No,No,No,Yes,Yes,1392.2,1
7803352,Main Stimuli Q_YES,29,footbridgeMine,Yes,No,Yes,Yes,No,454.7,1
7803352,Main Stimuli Q_YES,30,implied consent,Yes,No,Yes,Yes,No,1235,1
7803352,Main Stimuli Q_YES,31,BystanderPHO,No,No,No,Yes,Yes,1485.1,0
7803352,Main Stimuli Q_YES,32,SubstitutedConsentCrane,Yes,No,Yes,No,Yes,375.2,1
7803352,Main Stimuli Q_YES,33,SubstitutedConsent,Yes,No,Yes,No,Yes,741.3,1
7803352,Main Stimuli Q_YES,34,costless rescueTruck,No,Yes,No,No,Yes,937,1
7803352,Main Stimuli Q_YES,35,FootbridgePHA&OTruck,Yes,No,Yes,Yes,No,2603.5,0
7803352,Main Stimuli Q_YES,36,InefficientRiskTruck,No,Yes,No,No,Yes,611.6,1
7803352,Main Stimuli Q_YES,37,collapse bridgeCrane,Yes,No,No,No,Yes,1146.4,1
7803352,Main Stimuli Q_YES,38,HypotheticalConsentTruck,Yes,No,Yes,Yes,No,1157.8,1
7803352,Main Stimuli Q_YES,39,FootbridgePHACrane,Yes,No,Yes,Yes,No,1050.6,0
7803352,Main Stimuli Q_YES,40,InexpensiveRescueMine,No,Yes,No,No,Yes,980.8,1
7803352,Main Stimuli Q_YES,41,implied consentMine,Yes,No,Yes,Yes,No,1351,1
7803352,Main Stimuli Q_YES,42,expensive equipmentTruck,No,Yes,No,No,Yes,337.1,0
7803352,Main Stimuli Q_YES,43,FootbridgePHAMine,Yes,No,Yes,Yes,No,510.5,1
7803352,Main Stimuli Q_YES,44,collapse bridgeTruck,Yes,No,No,No,Yes,1142,1
7803352,Main Stimuli Q_YES,45,intentional homicideCrane,No,Yes,No,Yes,Yes,923.5,1
7803352,Main Stimuli Q_YES,46,InexpensiveRescueTruck,No,Yes,No,No,Yes,845.7,1
7803352,Main Stimuli Q_YES,47,ExpensiveRescueTruck,No,Yes,No,No,Yes,346.5,1
7803352,Main Stimuli Q_YES,48,BystanderPHA&OTruck,No,Yes,No,Yes,Yes,613,1
7803352,Main Stimuli Q_YES,49,costless rescueMine,No,Yes,No,No,Yes,107,1
7803352,Main Stimuli Q_YES,50,bystanderCrane,No,Yes,No,No,Yes,174.3,1
7803352,Main Stimuli Q_YES,51,ExpensiveRescueMine,No,Yes,No,No,Yes,449.2,1
